node_id,name,latitude,longitude,category,capacity_kg,capacity_units,source
9454571334,Nimpura Post Office,22.338063,87.27914,amenity:post_office,2000,200,osm
9465646025,Kharagpur Post Ofice,22.338973,87.326054,amenity:post_office,2000,200,osm
9452157419,New Wagon Shop,22.333784,87.29093,landuse:industrial,5000,500,osm
9457092970,OSM Industrial Facility,22.324599,87.301985,landuse:industrial,5000,500,osm
9447035899,OSM Industrial Facility,22.337614,87.316092,landuse:industrial,5000,500,osm
9444368284,OSM Industrial Facility,22.362338,87.284699,landuse:industrial,5000,500,osm
9444368284,OSM Industrial Facility,22.357929,87.286792,landuse:industrial,5000,500,osm
9451677967,OSM Industrial Facility,22.377831,87.283663,landuse:industrial,5000,500,osm
9446820373,Hijli SO,22.34046,87.307838,amenity:post_office,2000,200,india_post
9446820385,Kharagpur Work Shop SO,22.339778,87.310389,amenity:post_office,2000,200,india_post
3743556421,Matkatpur BO,22.330409,87.318099,amenity:post_office,2000,200,india_post
2613601311,Kharagpur Technology SO,22.321556,87.309917,amenity:post_office,2000,200,india_post
1068901489,Kharagpur SO,22.339056,87.325444,amenity:post_office,2000,200,india_post
1471100885,Talbagicha BO,22.3145,87.309,amenity:post_office,2000,200,india_post
